Genotype	total	pct_with_primers	pct_without_primers
B3.13	4616	0.06	99.94
D1.1	3555	0.0	100.0
B3.2	1812	4.42	95.58
B2.1	868	0.0	100.0
B4.1	704	0.0	100.0
B1.1	659	0.0	100.0
B1.2	580	0.0	100.0
A1	537	0.0	100.0
B1.3	498	0.0	100.0
B3.6	464	0.0	100.0
A2	387	0.0	100.0
A3	346	0.0	100.0
D1.3	249	0.0	100.0
B2.2	218	0.0	100.0
B3.1	201	0.0	100.0
B3.5	121	0.0	100.0
B3.10	92	0.0	100.0
C2.1	92	0.0	100.0
B3.3	76	0.0	100.0
B3.7	49	0.0	100.0
B5.1	21	0.0	100.0
A5	19	0.0	100.0
A4	18	0.0	100.0
B3.4	16	0.0	100.0
Minor87	13	0.0	100.0
B3.12	12	0.0	100.0
Minor100	12	0.0	100.0
Minor77	9	0.0	100.0
Minor81	9	0.0	100.0
Minor19	9	0.0	100.0
Minor08	8	0.0	100.0
Minor01	7	0.0	100.0
Minor09	5	0.0	100.0
Minor97	5	0.0	100.0
D1.2	5	0.0	100.0
C3.1	4	0.0	100.0
Minor94	2	0.0	100.0
Minor60	2	0.0	100.0
Minor07	2	0.0	100.0
Minor12	2	0.0	100.0
Minor04	2	0.0	100.0
Minor105	2	0.0	100.0
Minor11	2	0.0	100.0
Minor14	1	0.0	100.0
Minor104	1	0.0	100.0
Minor91	1	0.0	100.0
Minor90	1	0.0	100.0
Minor79	1	0.0	100.0
Minor73	1	0.0	100.0
Minor28	1	0.0	100.0
Minor65	1	0.0	100.0
Minor63	1	0.0	100.0
Minor13	1	0.0	100.0
Minor51	1	0.0	100.0
Minor50	1	0.0	100.0
Minor45	1	0.0	100.0
Minor34	1	0.0	100.0
Minor99	1	0.0	100.0
