segment	lineage	without_primers	with_primers	total	pct_with_primers	pct_without_primers
PB2	am2.2	5419	3	5422	0.06	99.94
PB2	am24	3879	0	3879	0.0	100.0
PB2	am2.1	1954	81	2035	3.98	96.02
PB2	am1.1	1253	0	1253	0.0	100.0
PB2	am1.2	1106	0	1106	0.0	100.0
PB2	ea1	1034	0	1034	0.0	100.0
PB2	am5	574	0	574	0.0	100.0
PB2	am1.3	502	0	502	0.0	100.0
PB2	ea3	390	1	391	0.26	99.74
PB2	am3.2	137	0	137	0.0	100.0
PB2	am19	125	0	125	0.0	100.0
PB2	am13	77	0	77	0.0	100.0
PB2	ea4	48	0	48	0.0	100.0
PB2	am27	21	0	21	0.0	100.0
PB2	ea5	20	0	20	0.0	100.0
PB2	am4	16	0	16	0.0	100.0
PB2	am11	10	0	10	0.0	100.0
PB2	am26	6	0	6	0.0	100.0
PB2	am18	5	0	5	0.0	100.0
PB2	am23	5	0	5	0.0	100.0
PB2	am22	4	0	4	0.0	100.0
PB2	am9	3	0	3	0.0	100.0
PB2	am2.3.1	2	0	2	0.0	100.0
PB2	am2.3.2	2	0	2	0.0	100.0
PB2	am7	2	0	2	0.0	100.0
PB2	am12	1	0	1	0.0	100.0
PB2	am20	1	0	1	0.0	100.0
PB2	ea6	1	0	1	0.0	100.0
PB1	am4	5270	3	5273	0.06	99.94
PB1	ea3	4355	5	4360	0.11	99.89
PB1	ea1	2594	0	2594	0.0	100.0
PB1	am1.2	1898	81	1979	4.09	95.91
PB1	am1.1	1245	0	1245	0.0	100.0
PB1	am1.3	503	0	503	0.0	100.0
PB1	ea2	479	0	479	0.0	100.0
PB1	am20	115	0	115	0.0	100.0
PB1	am1.4	76	0	76	0.0	100.0
PB1	ea4	25	0	25	0.0	100.0
PB1	ea5	20	0	20	0.0	100.0
PB1	am14	9	0	9	0.0	100.0
PB1	ea6	8	0	8	0.0	100.0
PB1	am10	6	0	6	0.0	100.0
PB1	am2	4	0	4	0.0	100.0
PB1	am21	4	0	4	0.0	100.0
PB1	am12	2	0	2	0.0	100.0
PB1	am11	1	0	1	0.0	100.0
PB1	am7	1	0	1	0.0	100.0
PB1	am9	1	0	1	0.0	100.0
PA	ea1	11020	87	11107	0.78	99.22
PA	am4	3859	0	3859	0.0	100.0
PA	am1	589	0	589	0.0	100.0
PA	am1.2	500	0	500	0.0	100.0
PA	ea3	375	1	376	0.27	99.73
PA	am3	108	0	108	0.0	100.0
PA	ea4	28	0	28	0.0	100.0
PA	ea5	20	0	20	0.0	100.0
PA	am8	8	0	8	0.0	100.0
PA	am5	5	0	5	0.0	100.0
PA	am7	2	0	2	0.0	100.0
PA	am2	1	0	1	0.0	100.0
PA	am6	1	0	1	0.0	100.0
PA	ea1b	1	0	1	0.0	100.0
HA	ea1	11600	88	11688	0.75	99.25
HA	ea3	4510	5	4515	0.11	99.89
HA	ea2	610	0	610	0.0	100.0
HA	ea4	28	0	28	0.0	100.0
HA	ea5	26	0	26	0.0	100.0
NP	am8	4649	3	4652	0.06	99.94
NP	am13	3882	0	3882	0.0	100.0
NP	am1.4.1	2655	82	2737	3.0	97.0
NP	am1.2	1757	0	1757	0.0	100.0
NP	am1.1	1151	1	1152	0.09	99.91
NP	ea1	1108	0	1108	0.0	100.0
NP	am1.3	712	0	712	0.0	100.0
NP	ea3	425	1	426	0.23	99.77
NP	am4	141	0	141	0.0	100.0
NP	ea4	29	0	29	0.0	100.0
NP	ea5	22	0	22	0.0	100.0
NP	am1.4.2	21	0	21	0.0	100.0
NP	am1.6	21	0	21	0.0	100.0
NP	am10	13	0	13	0.0	100.0
NP	am11	12	0	12	0.0	100.0
NP	ea6	7	0	7	0.0	100.0
NP	am5	6	0	6	0.0	100.0
NP	am1.5	5	0	5	0.0	100.0
NP	am12	2	0	2	0.0	100.0
NP	am2	1	0	1	0.0	100.0
NP	am7	1	0	1	0.0	100.0
NP	am9	1	0	1	0.0	100.0
NA	ea1	11691	88	11779	0.75	99.25
NA	am4N1	3678	0	3678	0.0	100.0
NA	ea3	722	1	723	0.14	99.86
NA	ea2	542	0	542	0.0	100.0
NA	ea5	87	3	90	3.33	96.67
NA	ea4	28	0	28	0.0	100.0
MP	ea1	12241	88	12329	0.71	99.29
MP	ea3	4599	4	4603	0.09	99.91
MP	ea5	52	1	53	1.89	98.11
MP	ea4	37	0	37	0.0	100.0
MP	am1	15	0	15	0.0	100.0
MP	ea6	7	0	7	0.0	100.0
NS	am1.1	7271	87	7358	1.18	98.82
NS	ea1	4727	0	4727	0.0	100.0
NS	ea3	4397	6	4403	0.14	99.86
NS	am1.2	234	0	234	0.0	100.0
NS	ea4	44	0	44	0.0	100.0
NS	am1.3	5	0	5	0.0	100.0
NS	am5	5	0	5	0.0	100.0
NS	am1.4	4	0	4	0.0	100.0
NS	am4	3	0	3	0.0	100.0
NS	am3	2	0	2	0.0	100.0
